Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.290500,0.183750,0.228125,0.216062,0.204500,0.230555,0.231129,0.231918
"First request sent",0.024500,0.006625,0.032063,0.032031,0.033125,0.032773,0.033160,0.032479
"Time from request to first response",,,,,,,,
"Response received",721.868500,731.391750,1525.098875,3561.806594,6531.534828,12959.640398,23630.151801,28594.106615
"File saved",0.451500,0.460500,0.468938,0.434719,0.467453,0.472367,0.396031,0.405215
"Command executed",880.375500,1200.543500,1303.727813,2064.829156,2750.264641,5123.698508,15003.049828,56536.967195
"Second connection established",0.236500,0.247875,0.235437,0.251469,0.216203,0.223164,0.226355,0.214619
"Second request sent",0.025250,0.025375,0.026500,0.026500,0.026609,0.024758,0.025605,0.020873
"Result uploaded",0.052750,0.047625,0.047438,0.054688,0.057281,0.055750,0.055441,0.040062
"Process completed successfully. Total execution time",,,,,,,,
