Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.839250,0.784125,0.916813,0.903750,1.369078,1.122375,1.228633,1.005889
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.341750,14.727625,2.335938,1.337156,2.430797,0.827969,1.556539,1.367336
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.304250,0.309500,0.282875,0.303750,0.306109,0.365313,0.467855,0.737996
"[distributeJob] UPDATE_MATRIX_STATUS /",0.283750,5.049625,0.252750,0.261719,1.155344,0.400656,0.255723,1.738545
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.296000,0.202000,0.288000,0.127000,0.303000,0.246000,0.155000,0.191000
"Distribute job completed.",5.538000,49.439750,29.159938,9.812313,11.873844,44.235750,10.674441,16.380928
"Clean buffer completed.",0.001250,0.001875,0.002000,0.001531,0.002859,0.001313,0.001262,0.001467
"Send headers completed.",0.187500,0.254500,0.308125,0.252000,0.249031,0.252398,0.185613,0.213365
"Open file completed.",0.016750,0.025000,0.030000,0.029625,0.018469,0.018687,0.015129,0.020951
"Output file completed.",0.701000,0.729125,3.761000,3.636781,5.620359,12.421242,3.688621,2.885967
"Program completed. Total",10.212500,53.588750,36.414125,16.673937,20.710875,59.756500,17.440930,22.505996
