Pattern,Request Time (seconds),PHP Time (seconds)
W-1-64,0.106386,0.002286
W-1-64,0.147734,0.001404
W-1-64,0.307292,0.002126
W-1-64,0.258475,0.002157
W-1-64,0.231439,0.002055
W-1-64,0.230918,0.002123
W-1-64,0.541511,0.002114
W-1-64,0.278265,0.001976
W-1-64,0.424969,0.002112
W-1-64,0.119427,0.002329
W-1-64,0.310963,0.002144
W-1-64,0.167419,0.002086
W-1-64,0.498205,0.001626
W-1-64,0.304068,0.001991
W-1-64,0.423893,0.002110
W-1-64,0.249413,0.001060
W-1-64,0.485046,0.002040
W-1-64,0.397016,0.002147
W-1-64,0.215487,0.002140
W-1-64,0.136774,0.002001
W-1-64,0.214140,0.001994
W-1-64,0.472698,0.000884
W-1-64,0.232004,0.002122
W-1-64,0.231426,0.002130
W-1-64,0.231191,0.002072
W-1-64,0.106575,0.002162
W-1-64,0.263359,0.001992
W-1-64,0.307551,0.000898
W-1-64,0.485337,0.002143
W-1-64,0.337063,0.002020
W-1-64,0.263047,0.001981
W-1-64,0.454815,0.001922
W-1-64,0.258247,0.001818
W-1-64,0.258295,0.002139
W-1-64,0.485329,0.002086
W-1-64,0.243122,0.002026
W-1-64,0.106337,0.002165
W-1-64,0.231528,0.002106
W-1-64,0.231089,0.002061
W-1-64,0.566816,0.002004
W-1-64,0.232734,0.002002
W-1-64,0.109286,0.002085
W-1-64,0.425083,0.002168
W-1-64,0.106372,0.002150
W-1-64,0.468114,0.002141
W-1-64,0.484543,0.002024
W-1-64,0.257884,0.002187
W-1-64,0.476728,0.001988
W-1-64,0.307423,0.001710
W-1-64,0.105994,0.002191
W-1-64,0.208081,0.002020
W-1-64,0.269741,0.001551
W-1-64,0.392486,0.001973
W-1-64,0.278547,0.002268
W-1-64,0.484531,0.002277
W-1-64,0.231676,0.002053
W-1-64,0.142466,0.002143
W-1-64,0.498764,0.001977
W-1-64,0.424640,0.001972
W-1-64,0.484563,0.002080
W-1-64,0.273085,0.002021
W-1-64,0.564523,0.002069
W-1-64,0.269858,0.001967
W-1-64,0.108682,0.002171
