Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.689750,0.769625,0.688375,3.293312,0.693766,0.266273,0.384211,0.323090
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.361500,1.504375,0.350688,0.386281,0.347984,0.336750,0.363883,0.396441
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.218500,0.219625,0.208625,0.233563,0.197266,0.761836,3.462273,0.214732
"getClientID completed.",1.471500,2.660250,1.445000,4.160250,1.451156,1.603563,4.443668,1.126734
"Read file completed.",0.012250,0.009375,0.012000,0.024813,0.011469,0.013008,0.012094,0.013047
"[updateStatus] MySQL connection established.",0.113750,0.101750,0.116375,0.153344,0.107281,0.130141,0.140328,0.127930
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.407250,0.948125,0.509312,0.743188,0.986172,14.970133,167.436603,2.119410
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.233500,0.249125,0.234187,0.255094,0.227766,2.386477,4.701980,0.515666
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.234250,0.187500,0.176563,0.187500,0.162578,0.169789,0.178809,0.177539
"updateStatus completed.",4.230750,22.151750,21.128062,23.457625,80.963578,77.068609,174.078979,49.822447
"Write file completed.",4.451000,22.443875,21.446312,23.792750,81.356703,78.815195,175.549311,51.639332
"[getGroupStatus] MySQL connection established.",0.050750,0.060875,0.071250,0.067125,0.111719,0.094102,0.091227,0.077055
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.211000,0.244000,0.239313,0.524156,0.302328,0.286102,0.312285,0.247895
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.177250,0.206250,0.215563,0.258094,0.383781,0.521813,6.130219,1.141719
"getGroupStatus completed.",0.608750,0.691125,0.654125,0.996813,0.980359,1.101375,6.753344,1.733113
"Merge request completed.",4.511000,4.528000,4.651000,6.627000,5.211000,5.754000,8.516500,15.650000
"Majority request completed.",4.064000,6.172000,5.728000,34.758000,5.061000,2.402000,4.845000,4.688000
"Program completed. Total",11.612500,30.159250,27.025375,32.909125,86.721766,84.212305,180.992641,57.328238
