Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.892250,0.972750,0.803875,0.827875,2.697109,1.197898,1.426352,0.985324
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.374000,1.625625,2.921563,1.079219,0.974375,0.603500,0.693430,0.729008
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.296250,0.319000,0.255188,0.275938,0.305109,0.358016,0.475332,0.726496
"[distributeJob] UPDATE_MATRIX_STATUS /",8.107000,0.287000,1.212125,0.241344,0.259172,0.273539,0.268227,0.754166
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.316000,0.201000,0.433000,0.207000,0.301000,0.205000,0.213000,0.308000
"Distribute job completed.",14.212750,5.433250,31.706063,12.654781,41.989063,7.719711,14.652395,17.556162
"Clean buffer completed.",0.001750,0.001250,0.001688,0.001313,0.001344,0.001297,0.001426,0.001320
"Send headers completed.",0.221750,0.175625,0.451000,0.218625,0.224734,0.189898,0.188918,0.202232
"Open file completed.",0.018500,0.015375,0.030250,0.018125,0.018500,0.015086,0.014910,0.015461
"Output file completed.",0.679750,0.926500,46.914625,3.412625,12.385016,1.703641,3.976781,4.613625
"Program completed. Total",19.102500,10.419625,82.410875,19.307500,57.563406,12.591586,21.779242,25.291576
