Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.187750,0.190250,0.190000,0.221594,0.229844,0.245063,0.238148,0.232250
"First request sent",0.016500,0.020250,0.034500,0.033969,0.034469,0.033797,0.033770,0.031867
"Time from request to first response",255.262250,3.213625,0.014688,0.030563,0.030641,0.029906,0.030359,0.029461
"Response received",691.729500,853.410375,392.637938,2053.416000,6654.872156,12466.596789,18758.292816,26351.623594
"File saved",0.470500,0.453375,0.169563,0.468844,0.456437,0.452750,0.388246,0.409309
"Command executed",1122.665250,1196.444250,2.724813,1631.765031,3343.855391,5283.870797,12013.662094,48680.334785
"Second connection established",0.246750,0.259375,0.256625,0.227094,0.232984,0.223375,0.229371,0.212803
"Second request sent",0.024500,0.021125,0.024688,0.026469,0.025797,0.025445,0.024551,0.020303
"Result uploaded",0.058750,0.046500,0.032938,0.055281,0.056203,0.055633,0.054930,0.037861
"Process completed successfully. Total execution time",2627.815750,2851.716250,1550.779875,6289.654813,16790.864813,30542.618383,59127.422164,132663.317020
