Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.678500,0.658250,0.755500,0.344250,0.722562,3.400414,0.471715,0.323611
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.372750,2.165625,0.358063,0.306375,0.363969,0.369000,0.352512,0.409330
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.195500,0.170750,0.221375,0.196469,0.205438,0.211516,4.102891,0.275016
"getClientID completed.",1.476750,3.152625,1.563000,1.015656,1.488938,4.303375,5.133191,1.229289
"Read file completed.",0.012750,0.007250,0.013750,0.011094,0.012422,0.015094,0.012672,0.012781
"[updateStatus] MySQL connection established.",0.122000,0.242500,0.157000,0.117531,0.137375,0.141867,0.141703,0.153434
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.376000,1.530000,1.218563,0.476719,1.120594,2.178312,34.710867,1.903783
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.215000,0.296250,0.255750,0.227250,0.352672,0.246969,1.540262,0.632721
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.227750,0.197375,0.175562,0.170594,0.172172,0.164797,0.180695,0.184039
"updateStatus completed.",67.998500,380.610375,36.378625,43.840187,155.412156,226.634797,199.145324,92.840705
"Write file completed.",68.401750,469.941875,36.782937,44.214344,157.610406,235.228906,200.577867,107.426873
"[getGroupStatus] MySQL connection established.",0.114750,0.121625,0.093500,0.091156,0.097688,0.105664,0.110770,0.084537
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.254000,0.319375,0.272625,0.275656,0.300359,1.043727,0.320113,0.266248
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.188000,0.265875,0.233687,0.254062,0.382969,0.657078,1.311398,1.249824
"getGroupStatus completed.",0.736250,0.895125,0.769000,0.790469,1.009313,2.124891,2.001270,1.791381
"Merge request completed.",4.578667,4.935857,4.741750,3.988000,4.413000,5.902667,8.212000,11.430000
"Majority request completed.",2.933000,1.598000,1.424000,2.052000,1.967000,1.860000,1.392000,1.909000
"Program completed. Total",78.015250,482.041625,43.336813,48.656187,163.055234,244.640242,210.523949,113.534529
