Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.247847,0.203786,0.212712,0.214801,0.221563,0.230718,0.233128,0.231251
"First request sent",0.024111,0.020272,0.031174,0.030702,0.033543,0.033439,0.033702,0.031750
"Time from request to first response",51.850944,43.785353,77.346667,0.129869,0.070504,0.030029,0.051775,0.028981
"Response received",700.477778,757.205882,1189.538889,2370.205556,5436.227778,10748.833333,19105.578947,25325.578947
"File saved",0.452486,0.439250,0.450717,0.464838,0.469929,0.449771,0.377974,0.396360
"Command executed",1027.227778,1173.270588,1316.000000,1749.688889,2695.027778,4743.927778,13102.947368,52633.157895
"Second connection established",0.250319,0.232515,0.234610,0.236167,0.229958,0.221647,0.217697,0.224240
"Second request sent",0.023722,0.023051,0.023844,0.025920,0.025798,0.025587,0.025513,0.018731
"Result uploaded",0.050736,0.049397,0.049552,0.053368,0.054773,0.053551,0.055565,0.034526
"Process completed successfully. Total execution time",2368.544444,2616.029412,3634.572222,6497.777778,13807.333333,27407.388889,59034.736842,135258.421053
