Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.670239,0.691429,0.751983,0.317805,0.714317,2.548933,0.446123,0.321333
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.347847,1.827482,0.353371,0.321704,0.354264,0.573900,0.473132,0.413424
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.209486,0.203315,0.212619,1.591961,1.204706,4.578256,34.543421,0.726311
"getClientID completed.",1.407628,2.910782,1.525867,2.420139,2.486906,7.919500,35.868842,1.658295
"Read file completed.",0.011722,0.013007,0.014997,0.011950,0.012645,0.012503,0.012507,0.012917
"[updateStatus] MySQL connection established.",0.118458,0.120221,0.136556,0.129179,0.137944,0.152426,0.160592,0.148735
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.298889,0.442045,1.076922,3.901856,5.074556,48.182222,113.118421,9.773632
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.237236,0.223705,0.247376,0.959994,0.792161,2.045639,3.460942,1.283542
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",NA,NA,NA,NA,NA,NA,NA,NA
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.231375,0.190684,0.183459,0.173827,0.171838,0.213357,0.175241,0.181815
"updateStatus completed.",21.844333,63.137059,85.049444,101.018333,163.418889,241.437222,288.322105,90.322105
"Write file completed.",22.167722,68.691176,88.282778,102.759444,174.803333,260.456667,299.608421,102.072632
"[getGroupStatus] MySQL connection established.",0.073278,0.077536,0.093944,0.096616,0.099980,0.107886,0.103342,0.080546
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.242083,0.252978,0.279222,0.289271,0.305284,0.379072,0.333949,0.260456
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.209972,0.218000,0.256254,1.050411,1.549111,11.540389,9.712158,1.372463
"getGroupStatus completed.",0.672572,0.695688,0.792383,1.623439,2.169733,12.333111,10.736789,1.913626
"Merge request completed.",4.317139,4.400559,7.796444,8.381333,7.230389,9.458944,23.242211,16.050842
"Majority request completed.",2.690889,2.606176,10.585056,1.738611,12.937556,12.513556,2.042947,2.826579
"Program completed. Total",29.686167,76.961765,98.601111,113.005556,184.498333,285.995000,300.837368,107.724211
