Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.843239,0.943212,0.885561,0.824183,1.914461,1.277122,1.273874,1.059511
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",12.591889,7.547353,33.105944,3.620433,1.339494,1.359989,1.064579,2.101363
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.302792,0.313206,0.305319,0.283364,0.317618,0.373953,0.493051,0.816653
"[distributeJob] UPDATE_MATRIX_STATUS /",5.851778,1.697053,3.771706,0.555794,0.339050,0.469056,0.504774,1.009689
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.262833,0.284882,0.313222,0.206556,0.223056,1.818889,0.201000,0.260000
"Distribute job completed.",65.135556,63.314706,115.962778,20.044944,19.305278,24.883778,22.363105,19.036053
"Clean buffer completed.",0.001875,0.001647,0.001712,0.001432,0.001369,0.001411,0.001337,0.001380
"Send headers completed.",0.270958,0.338301,0.435153,0.274832,0.231266,0.219861,0.209139,0.200405
"Open file completed.",0.022625,0.028022,0.034288,0.021452,0.018454,0.017741,0.017325,0.015976
"Output file completed.",0.777111,7.451529,26.800667,9.389389,4.772800,4.655178,3.604732,3.767611
"Program completed. Total",70.125556,74.481176,146.461111,32.649167,27.299056,33.178111,29.228474,26.023632
