Description,Value
"[getClientID] MySQL connection established.",0.292656
"[getClientID] MySQL connection established.",0.212312
"[getClientID] MySQL connection established.",0.250625
"[getClientID] MySQL connection established.",0.231250
"[getClientID] MySQL connection established.",0.549781
"[getClientID] MySQL connection established.",0.331625
"[getClientID] MySQL connection established.",0.246563
"[getClientID] MySQL connection established.",0.311594
"[getClientID] MySQL connection established.",0.420531
"[getClientID] MySQL connection established.",0.196250
"[getClientID] MySQL connection established.",0.446906
"[getClientID] MySQL connection established.",0.269625
"[getClientID] MySQL connection established.",0.340031
"[getClientID] MySQL connection established.",0.314063
"[getClientID] MySQL connection established.",0.212906
"[getClientID] MySQL connection established.",0.561531
"[getClientID] MySQL connection established.",0.344250
"[getClientID] MySQL connection established.",0.188000
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.319531
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.287156
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.343531
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.303750
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.338313
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.332594
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.325781
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.332250
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.320000
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.321187
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.336000
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.329937
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.325313
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.319812
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.301812
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.344937
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.306375
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.302406
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.214094
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.200813
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.218656
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.203594
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.209562
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.229281
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.224437
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.219250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.202906
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.213313
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.215094
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.221313
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",15.429437
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.207281
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.199750
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",8.012438
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.196469
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",2.037562
"getClientID completed.",1.007812
"getClientID completed.",0.862000
"getClientID completed.",1.001250
"getClientID completed.",0.920219
"getClientID completed.",1.286594
"getClientID completed.",1.087344
"getClientID completed.",0.995938
"getClientID completed.",1.052531
"getClientID completed.",1.125531
"getClientID completed.",0.901437
"getClientID completed.",1.192250
"getClientID completed.",1.026469
"getClientID completed.",16.319406
"getClientID completed.",1.023062
"getClientID completed.",0.874500
"getClientID completed.",9.179219
"getClientID completed.",1.015656
"getClientID completed.",2.691187
"Read file completed.",0.011688
"Read file completed.",0.010563
"Read file completed.",0.011813
"Read file completed.",0.011938
"Read file completed.",0.011469
"Read file completed.",0.011500
"Read file completed.",0.012656
"Read file completed.",0.013063
"Read file completed.",0.010875
"Read file completed.",0.011594
"Read file completed.",0.013250
"Read file completed.",0.013000
"Read file completed.",0.013969
"Read file completed.",0.011094
"Read file completed.",0.011000
"Read file completed.",0.013531
"Read file completed.",0.011094
"Read file completed.",0.011000
"[updateStatus] MySQL connection established.",0.114531
"[updateStatus] MySQL connection established.",0.109969
"[updateStatus] MySQL connection established.",0.138969
"[updateStatus] MySQL connection established.",0.123188
"[updateStatus] MySQL connection established.",0.126250
"[updateStatus] MySQL connection established.",0.130469
"[updateStatus] MySQL connection established.",0.132719
"[updateStatus] MySQL connection established.",0.127344
"[updateStatus] MySQL connection established.",0.106969
"[updateStatus] MySQL connection established.",0.162281
"[updateStatus] MySQL connection established.",0.129469
"[updateStatus] MySQL connection established.",0.151000
"[updateStatus] MySQL connection established.",0.153656
"[updateStatus] MySQL connection established.",0.129281
"[updateStatus] MySQL connection established.",0.107375
"[updateStatus] MySQL connection established.",0.147156
"[updateStatus] MySQL connection established.",0.117531
"[updateStatus] MySQL connection established.",0.117063
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.646344
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.852812
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",3.086562
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.942625
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.692063
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.996281
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",1.143438
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",1.021563
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.590906
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",1.488656
